query_idx,ef_true,RV_unw,m_LID
1730,2000,0.087672,21.782
3464,1600,0.102068,19.1716
662,800,0.124788,22.2192
6236,1300,0.060061,36.5245
9488,350,0.134965,19.4357
2113,50,0.310858,13.0703
457,100,0.186434,12.2976
2411,50,0.179257,9.24841
3127,50,0.399844,17.4377
758,200,0.122387,15.7012
3863,50,0.314445,8.82217
7848,1300,0.119322,30.0239
1537,1800,0.0668005,20.6591
8819,50,0.31102,6.14888
3537,2000,0.0885943,20.9487
2606,50,0.22188,20.4868
7810,2000,0.109556,26.5426
8934,50,0.36682,5.05937
5896,100,0.178713,19.7766
6485,150,0.181414,10.224
2463,150,0.199181,17.8571
9611,50,0.40553,16.3556
8876,400,0.12624,26.2178
4629,850,0.0846542,16.5448
5430,50,0.303608,10.0129
1327,400,0.116803,29.1558
3742,50,0.360738,6.07981
409,2000,0.0849024,19.1886
3272,50,0.465517,6.6243
1207,2000,0.0703964,35.3028
9981,50,0.238994,4.72844
8017,100,0.268029,19.6664
6689,150,0.2343,17.0264
26,100,0.240107,16.6439
9529,2000,0.112303,19.3999
4768,50,0.408351,5.26771
7856,600,0.115357,15.5591
3287,2000,0.105074,22.6859
2192,100,0.244299,15.0196
7713,100,0.21997,14.966
7057,250,0.198846,13.5065
3714,100,0.22515,16.6259
9552,100,0.138702,15.1499
1544,50,0.213943,14.8292
3294,100,0.241254,16.6854
1193,300,0.220218,21.1134
4826,100,0.274936,18.5341
2631,2000,0.143002,19.7796
2111,50,0.352381,6.85005
8093,1650,0.144103,9.98027
4581,350,0.195014,12.316
5049,50,0.1992,11.8929
5446,550,0.193303,15.5089
8484,50,0.254574,18.0386
3885,50,0.259573,10.345
5098,50,0.242634,3.19203
8008,2000,0.184522,17.8968
4623,50,0.281428,8.54917
3733,1300,0.0948387,20.3047
7324,300,0.11311,20.2108
6711,900,0.140891,24.409
2966,2000,0.173913,27.8426
5217,100,0.218687,20.4999
3812,50,0.182927,19.6259
2822,200,0.173575,19.8608
8276,150,0.187015,18.2001
2987,50,0.370764,5.18935
3868,2000,0.079024,21.8834
1926,900,0.0799791,24.9357
1351,50,0.340434,6.00297
2107,150,0.137338,20.7571
3453,1200,0.13276,18.8552
3674,50,0.223492,11.1771
7538,450,0.112975,13.8747
4350,200,0.169528,13.4388
8998,1950,0.0906032,20.0737
5097,50,0.181754,16.1279
2718,50,0.267404,9.59247
4543,100,0.508588,16.9805
8877,50,0.36383,9.60655
2836,50,0.424658,18.7986
8791,100,0.237367,15.3058
2782,50,0.319972,12.7426
1279,50,0.201075,15.8071
6442,50,0.225363,13.8956
1447,900,0.100167,23.2193
2872,2000,0.129422,19.6777
6269,100,0.214232,15.6794
7302,50,0.421298,11.2727
9793,300,0.240613,22.2097
5191,50,0.351838,14.5001
4608,2000,0.091632,17.9788
1999,650,0.128136,16.1991
1023,2000,0.0744425,29.4093
9225,950,0.220339,26.5786
2391,700,0.15335,18.2798
1874,200,0.171649,23.4234
9114,50,0.373476,4.53872
8238,50,0.202614,14.7742
4265,100,0.155517,18.2419
9495,300,0.110613,18.9696
3682,50,0.349384,8.15678
6974,100,0.345164,11.083
6453,200,0.119448,22.8825
8476,900,0.0756739,18.7745
2309,50,0.388799,8.34982
8263,50,0.230954,9.80257
6020,50,0.334701,8.30375
1216,100,0.2287,9.33763
1012,50,0.167506,15.56
5012,1650,0.167314,23.0229
1339,50,0.345455,16.9984
7181,150,0.147484,24.9407
4233,300,0.0876578,23.3059
8649,150,0.168207,10.8661
2926,150,0.143857,23.6473
5022,2000,0.0845588,10.9005
5286,100,0.229993,14.0077
9916,100,0.150699,16.5897
6785,50,0.373178,9.06871
3300,50,0.280396,11.594
555,50,0.28797,15.2901
3444,1450,0.0790785,13.1752
315,250,0.359301,13.4965
563,200,0.191083,19.4518
9629,50,0.197386,15.6876
9523,50,0.322409,13.2444
6979,200,0.101436,24.9514
9468,50,0.168444,8.75944
2544,250,0.113347,12.8688
5333,100,0.226804,20.3644
9877,50,0.174394,12.3496
687,100,0.316195,9.31183
7068,2000,0.0929657,21.6433
2754,800,0.115746,22.4896
8126,50,0.139356,7.26821
8440,150,0.294547,16.0191
4217,1050,0.110827,19.2728
1925,50,0.277412,10.2571
6106,100,0.193395,16.3262
9166,50,0.245166,14.4272
4397,50,0.441684,8.97087
6060,2000,0.0988391,19.3179
8971,50,0.463103,12.5329
2060,1900,0.0729927,21.9851
2565,50,0.57725,11.9837
4522,150,0.237256,27.83
1573,50,0.253884,11.8289
9555,100,0.213656,18.9955
4524,50,0.159985,6.22037
6186,600,0.0816764,22.6582
1509,1600,0.122687,19.6015
8049,200,0.149384,18.9606
6896,100,0.342901,12.7059
1771,2000,0.108228,17.7414
5379,50,0.30352,7.27334
3401,100,0.352705,12.455
1347,1050,0.171675,20.5796
3745,50,0.311581,16.2568
2556,50,0.237937,11.8988
3254,50,0.193455,6.7432
5042,200,0.189738,17.8845
4724,150,0.197927,14.8312
9449,50,0.228748,6.53909
9115,950,0.172164,27.3338
938,1750,0.144989,23.2978
8623,50,0.288288,8.95607
5933,50,0.195205,23.1395
2137,550,0.0846481,26.6584
273,50,0.155908,13.2888
7782,50,0.277503,19.3306
503,50,0.181594,6.97611
872,50,0.265778,19.9176
9059,50,0.316705,6.39641
4510,200,0.186939,13.7693
1585,50,0.257434,10.0038
6542,650,0.235951,23.6097
3549,100,0.160752,15.1621
9332,150,0.213967,29.2437
488,950,0.0832015,26.2441
7214,50,0.344922,17.6359
5018,50,0.261224,6.20419
8314,50,0.241026,17.6732
9257,2000,0.0837639,27.7772
141,50,0.385158,12.4086
4595,50,0.183891,15.0697
5695,1500,0.0873333,30.8416
4579,2000,0.12214,16.0846
7527,50,0.128551,10.441
9321,100,0.315993,18.4584
239,650,0.0937805,15.427
5485,150,0.176711,14.155
4188,50,0.191584,13.0457
7689,100,0.169656,19.6452
1027,50,0.378158,5.92385
9496,50,0.408928,6.04756
6090,100,0.336868,13.6002
4702,300,0.114083,25.0087
7879,300,0.194124,23.3332
4760,350,0.159301,13.8045
1146,2000,0.0952692,23.5622
6960,50,0.249711,9.61001
351,2000,0.15793,32.5563
1525,2000,0.0820765,21.1286
9753,500,0.180906,34.5799
9619,550,0.132582,26.8381
9715,500,0.132082,25.6226
5717,100,0.320503,16.8815
2452,50,0.214981,11.2106
7907,50,0.265143,18.3878
2356,100,0.238041,14.8068
9868,50,0.520315,7.34762
8833,250,0.139356,15.5481
4525,50,0.161508,14.8162
4990,50,0.387833,9.78214
8237,50,0.206959,11.5273
9067,50,0.314631,12.2081
8468,50,0.251313,17.5792
1029,1350,0.107622,28.7326
251,50,0.294887,12.6428
4733,50,0.268205,15.2352
4528,400,0.153032,15.103
817,1800,0.0947065,22.6473
3074,2000,0.073612,25.498
5494,50,0.19309,9.73812
102,1500,0.112066,19.4948
3267,50,0.42376,10.8799
4610,2000,0.113573,22.74
4540,50,0.208321,10.5545
8958,300,0.106333,18.7389
3111,1500,0.0789629,28.7973
2860,2000,0.0889507,23.184
5053,50,0.329213,14.2738
1616,50,0.27355,12.0568
6331,50,0.133583,14.4711
4979,750,0.122954,11.2979
6202,50,0.302989,13.4194
4511,400,0.0772579,23.1842
3969,450,0.163408,17.0127
7737,50,0.288499,12.4976
6520,50,0.392624,6.32246
1147,700,0.0909725,22.4038
4533,100,0.140828,9.45942
2053,50,0.317208,12.305
6722,50,0.229515,8.15818
9187,50,0.438758,7.87695
1853,50,0.351362,10.1601
236,100,0.129496,15.9212
1393,100,0.267843,15.323
56,200,0.143369,18.5208
