query_idx,ef_true,RV_rank_2.0,RV_rank_5.0,RV_rank_8.0,RV_rank_10.0,RV_rank_12.0,RV_rank_15.0,RV_rank_20.0,RV_rank_30.0
1730,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
3464,50,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8
662,50,0.6,0.8,0.8,0.9,0.9,0.9,0.9,0.9
6236,200,0.5,0.6,0.7,0.8,0.8,0.8,0.8,0.8
9488,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
2113,150,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
457,50,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
2411,50,0.5,0.7,0.7,0.7,0.8,0.8,0.8,0.8
3127,200,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6
758,50,0.3,0.4,0.5,0.6,0.6,0.7,0.7,0.8
3863,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8
7848,150,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6
1537,50,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
8819,100,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.8
3537,100,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
2606,1050,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
7810,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
8934,50,0.4,0.6,0.6,0.7,0.7,0.7,0.7,0.8
5896,150,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
6485,250,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
2463,50,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
9611,100,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
8876,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9
4629,50,0.5,0.7,0.8,0.8,0.8,0.8,0.9,0.9
5430,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
1327,50,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7
3742,150,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.7
409,200,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
3272,50,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
1207,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
9981,50,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6
8017,900,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
6689,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9
26,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
9529,100,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
4768,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
7856,50,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
3287,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
2192,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
7713,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
7057,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.8
3714,150,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.7
9552,150,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
1544,50,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.8
3294,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
1193,50,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
4826,400,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
2631,50,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7
2111,50,0.5,0.7,0.8,0.8,0.8,0.8,0.9,0.9
8093,150,0.2,0.4,0.4,0.5,0.5,0.6,0.6,0.6
4581,50,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
5049,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
5446,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
8484,50,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
3885,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.8
5098,50,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.8
8008,50,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
4623,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
3733,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
7324,100,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
6711,200,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
2966,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
5217,100,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
3812,50,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
2822,100,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6
8276,50,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
2987,100,0.3,0.5,0.5,0.6,0.6,0.6,0.6,0.7
3868,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
1926,350,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
1351,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
2107,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
3453,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8
3674,250,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
7538,300,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
4350,250,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
8998,100,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
5097,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
2718,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
4543,50,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6
8877,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
2836,50,0.4,0.6,0.7,0.7,0.8,0.8,0.8,0.8
8791,50,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8
2782,300,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
1279,300,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.7
6442,400,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5
1447,50,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
2872,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
6269,50,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7
7302,350,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9793,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
5191,200,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6
4608,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.9
1999,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
1023,50,0.4,0.6,0.6,0.7,0.7,0.7,0.7,0.7
9225,250,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
2391,100,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
1874,100,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
9114,350,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
8238,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
4265,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
9495,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
3682,150,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5
6974,100,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
6453,150,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
8476,50,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
2309,150,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.7
8263,50,0.5,0.7,0.7,0.7,0.8,0.8,0.8,0.8
6020,50,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9
1216,50,0.5,0.7,0.7,0.7,0.8,0.8,0.8,0.8
1012,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8
5012,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8
1339,150,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7
7181,50,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8
4233,50,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.7
8649,100,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
2926,100,0.2,0.4,0.5,0.5,0.5,0.6,0.6,0.6
5022,350,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
5286,100,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
9916,150,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
6785,50,0.4,0.6,0.7,0.7,0.8,0.8,0.8,0.8
3300,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
555,50,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9
3444,50,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
315,200,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
563,100,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
9629,100,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
9523,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
6979,650,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.5
9468,200,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
2544,150,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
5333,50,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
9877,50,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9
687,400,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
7068,450,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
2754,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.9
8126,250,0.2,0.4,0.4,0.5,0.5,0.6,0.6,0.6
8440,150,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
4217,100,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.7
1925,50,0.5,0.6,0.7,0.8,0.8,0.8,0.8,0.8
6106,50,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9
9166,250,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
4397,200,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
6060,100,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.8
8971,200,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
2060,100,0.2,0.4,0.5,0.5,0.5,0.6,0.6,0.6
2565,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
4522,100,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6
1573,50,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8
9555,800,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
4524,100,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
6186,50,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
1509,50,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9
8049,200,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
6896,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
1771,300,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
5379,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.8
3401,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.8
1347,650,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
3745,150,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6
2556,300,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.7
3254,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
5042,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
4724,150,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
9449,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
9115,150,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
938,50,0.3,0.5,0.6,0.6,0.7,0.7,0.7,0.8
8623,100,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
5933,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
2137,50,0.5,0.6,0.7,0.8,0.8,0.8,0.8,0.8
273,50,0.4,0.5,0.6,0.7,0.7,0.7,0.8,0.8
7782,100,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7
503,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
872,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
9059,100,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
4510,400,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
1585,50,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.9
6542,100,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
3549,400,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
9332,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
488,200,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
7214,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
5018,50,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8
8314,50,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
9257,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
141,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
4595,50,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9
5695,200,0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.7
4579,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
7527,50,0.6,0.7,0.8,0.8,0.8,0.9,0.9,0.9
9321,50,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9
239,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.8
5485,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
4188,900,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5
7689,100,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
1027,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.8
9496,100,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7
6090,100,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
4702,300,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
7879,200,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
4760,50,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
1146,1200,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5
6960,1200,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.6
351,50,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7
1525,1550,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
9753,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
9619,1000,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
9715,100,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
5717,100,0.5,0.7,0.7,0.7,0.8,0.8,0.8,0.8
2452,100,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8
7907,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
2356,800,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6
9868,50,0.3,0.5,0.6,0.6,0.6,0.7,0.7,0.7
8833,100,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6
4525,100,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
4990,50,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8
8237,200,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
9067,100,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
8468,50,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.8
1029,50,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8
251,50,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.8
4733,350,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5
4528,150,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6
817,50,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8
3074,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
5494,100,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.8
102,50,0.5,0.7,0.7,0.8,0.8,0.8,0.8,0.8
3267,100,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
4610,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
4540,50,0.3,0.5,0.6,0.6,0.6,0.6,0.7,0.7
8958,250,0.2,0.4,0.4,0.5,0.5,0.5,0.6,0.6
3111,50,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7
2860,100,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
5053,150,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
1616,50,0.5,0.7,0.8,0.8,0.8,0.8,0.9,0.9
6331,700,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5
4979,200,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7
6202,450,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7
4511,150,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7
3969,50,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9
7737,100,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
6520,50,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.8
1147,50,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7
4533,100,0.3,0.5,0.5,0.6,0.6,0.7,0.7,0.7
2053,400,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7
6722,100,0.2,0.4,0.5,0.5,0.5,0.6,0.6,0.6
9187,350,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6
1853,150,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6
236,50,0.3,0.4,0.5,0.6,0.6,0.7,0.7,0.8
1393,50,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8
56,50,0.6,0.8,0.8,0.9,0.9,0.9,0.9,0.9
